ch100 L  45 | 人是活的 | 说话人≈ | "漕运司的灯查不到我，我自己查。"沈广农说，"名单在我手里，总漕册我可以自己找。扬州漕运司的库房，锁换了，可锁是死的，人是活的——总有开锁的人。"
ch109 L 115 | 名字是死人的 | 说话人≈ | "三镇的名册。"李承洲说，"张孝忠收人，收得比我们还急。他收这些人，填的都是死名——册上有名，人活着，可名字是死人的。活人顶着死名，死名养着活人。"
ch109 L 127 | 算不清 | 说话人≈ | 可他不怕。他怕的，是算不清楚。
ch110 L 165 | 纸会说话 | 说话人≈ | 她忽然想，那封信，此刻正藏在张孝忠地界的墙缝里，等着她去找它。信上不留名，可信纸会说话——那种纸的纤维，细，硬，像骨头。骨头，是认得人的。认得字的人，也认得骨头。她信这句话，就像信那张描了半年的圈。
ch112 L   5 | 算得清 | 说话人≈ | 沈广农离开扬州后，沿运河往北走了两天，在邵伯镇歇脚。镇上的客栈只有一家，掌柜姓卢，话少，账算得清楚。沈广农住进后院，当天夜里，有人从门缝里塞进来一封信。
ch115 L   1 | 账在纸上 | 说话人≈ | # 第一百一十五章《账在纸上》
ch115 L 115 | 账在纸上 | 说话人≈ | "崔先生让我带一句话。"老账房说，"她说，账在纸上，人在地上。纸上对上了，地上还要再对一遍。这块牌，是她给你的通牌——拿着它，沿漕路走，没有人拦你。"
ch115 L 143 | 账在纸上 | 说话人≈ | "账在纸上。"他说，"纸上对上了。接下来，要对地上的。"
ch115 L 175 | 账在纸上 | 说话人≈ | 沈广农想了想，说："他图的是——账在纸上对上的那天，纸上写的东西，是真的。"
ch117 L 117 | 人记账 | 说话人≈ | "我当初用你，是看你外乡人，在镇上没亲没故。"少东家在他身后说，"外乡人记账，记的是钱，不是人情。这是你的好处。可外乡人也有外乡人的毛病——他想走就走，走了，账上有什么亏空，没人替他担。"
ch124 L 111 | 路是死的 | 说话人≈ | "马不要我了。"孙驼子说，"可马走的路还在。我画不了马，就画马走的路——路是死的，画下来，不会踢人。"
ch130 L  93 | 算得清 | 说话人≈ | 他翻了个身，看着窗外的月亮。他以前一直以为，查账的人，站在账的外面——账是账，人是人，看得清，就能算得清。现在他知道了，他早就在账里面了。他查西账，西账在查他；他看天衡，天衡在看他；他以为自己在走一条
ch132 L  19 | 账是死的 | 说话人≈ | 第三笔账，是他自己的。证据送回扬州，走官驿要七天；武僧队伍三天后就要翻山。七天对三天，账是死的。他一个人上山，拦不住近百个武僧——这不是算得清算不清的事，是刀和账的事。刀拦不住，账也拦不住。他把碗里的
ch132 L  19 | 算得清 | 说话人≈ | 第三笔账，是他自己的。证据送回扬州，走官驿要七天；武僧队伍三天后就要翻山。七天对三天，账是死的。他一个人上山，拦不住近百个武僧——这不是算得清算不清的事，是刀和账的事。刀拦不住，账也拦不住。他把碗里的
ch132 L  19 | 算不清 | 说话人≈ | 第三笔账，是他自己的。证据送回扬州，走官驿要七天；武僧队伍三天后就要翻山。七天对三天，账是死的。他一个人上山，拦不住近百个武僧——这不是算得清算不清的事，是刀和账的事。刀拦不住，账也拦不住。他把碗里的
ch132 L 121 | 算得清 | 说话人≈ | 他站在山脚，风从垭口灌下来，带着雪沫子。他想转身回去，把掌柜怀里那封信追回来——他忽然觉得，那封信不该写"人往山上"。山上的账，他算得清；山上的路，他算不清。可他更知道，这一转身，这笔账就真的没人记了
ch132 L 121 | 算不清 | 说话人≈ | 他站在山脚，风从垭口灌下来，带着雪沫子。他想转身回去，把掌柜怀里那封信追回来——他忽然觉得，那封信不该写"人往山上"。山上的账，他算得清；山上的路，他算不清。可他更知道，这一转身，这笔账就真的没人记了
ch132 L 121 | 他算不清 | 说话人≈ | 他站在山脚，风从垭口灌下来，带着雪沫子。他想转身回去，把掌柜怀里那封信追回来——他忽然觉得，那封信不该写"人往山上"。山上的账，他算得清；山上的路，他算不清。可他更知道，这一转身，这笔账就真的没人记了
ch133 L 143 | 算得清 | 说话人≈ | 沈广农趴在乱石坡上，忽然明白了这笔账的收法：他算了一路的账，算到最后，账的数目不是他的，是那把剑的。他算得清马、铁、钱粮；剑算得清别的。
ch134 L 101 | 算不清 | 说话人≈ | 他算了一笔账：灰衣人一剑，逼停六人；鸠摩摩诃一杖，试出灰衣人慢了半拍。这笔账，他算不出谁赢谁输——他第一次见到算不清的账。不是数目的问题。数目之外，还有别的东西。他把这页账折起来，压在心底，等天亮。
ch134 L 139 | 算不清 | 说话人≈ | 沈广农趴在石后，等着。夜里风大，他咬着干粮袋的系绳，咬一阵，松一阵，用牙口的疼顶着困意。他不知道这一等要等多久。他只知道一件事：这笔账，他算不清——可他看得见。看得见，就是他的账。
ch134 L 139 | 他算不清 | 说话人≈ | 沈广农趴在石后，等着。夜里风大，他咬着干粮袋的系绳，咬一阵，松一阵，用牙口的疼顶着困意。他不知道这一等要等多久。他只知道一件事：这笔账，他算不清——可他看得见。看得见，就是他的账。
ch135 L  51 | 账是死的 | 说话人≈ | 李承洲又问了军需。军需官连夜翻账，回话只有一句："能出的兵，都出了。太原城里剩下的，是守城的。"李承洲在灯下算了一笔账：太原的守军，动一个，太原就空了；不动，西线就没有兵。账是死的。
